,cve,epss,date
161,CVE-2025-10147,0.00169,2025-10-21
162,CVE-2025-10412,0.00197,2025-10-21
163,CVE-2025-59834,0.00865,2025-10-21
164,CVE-2025-6921,0.00049,2025-10-21
165,CVE-2025-7045,0.00363,2025-10-21
166,CVE-2025-8268,0.0011,2025-10-21
167,CVE-2025-9054,0.00097,2025-10-21
168,CVE-2025-9321,0.00074,2025-10-21
169,CVE-2025-9816,0.00098,2025-10-21
170,CVE-2025-10137,0.00054,2025-10-22
171,CVE-2025-10147,0.00169,2025-10-22
172,CVE-2025-10412,0.00197,2025-10-22
173,CVE-2025-59834,0.00865,2025-10-22
174,CVE-2025-6921,0.00049,2025-10-22
175,CVE-2025-7045,0.00363,2025-10-22
176,CVE-2025-8268,0.0011,2025-10-22
177,CVE-2025-9054,0.00097,2025-10-22
178,CVE-2025-9321,0.00074,2025-10-22
179,CVE-2025-9816,0.00098,2025-10-22
180,CVE-2025-10137,0.00054,2025-10-23
181,CVE-2025-10147,0.00169,2025-10-23
182,CVE-2025-10412,0.00197,2025-10-23
183,CVE-2025-59834,0.00865,2025-10-23
184,CVE-2025-6921,0.00049,2025-10-23
185,CVE-2025-7045,0.00363,2025-10-23
186,CVE-2025-8268,0.0011,2025-10-23
187,CVE-2025-9054,0.00097,2025-10-23
188,CVE-2025-9321,0.00074,2025-10-23
189,CVE-2025-9816,0.00098,2025-10-23
190,CVE-2025-10137,0.00054,2025-10-24
191,CVE-2025-10147,0.00169,2025-10-24
192,CVE-2025-10412,0.00197,2025-10-24
193,CVE-2025-59834,0.00865,2025-10-24
194,CVE-2025-6921,0.00049,2025-10-24
195,CVE-2025-7045,0.00363,2025-10-24
196,CVE-2025-8268,0.0011,2025-10-24
197,CVE-2025-9054,0.00097,2025-10-24
198,CVE-2025-9321,0.00074,2025-10-24
199,CVE-2025-9816,0.00098,2025-10-24
200,CVE-2025-10137,0.00054,2025-10-25
201,CVE-2025-10147,0.00184,2025-10-25
202,CVE-2025-10412,0.00215,2025-10-25
203,CVE-2025-59834,0.00865,2025-10-25
204,CVE-2025-6921,0.00054,2025-10-25
205,CVE-2025-7045,0.00363,2025-10-25
206,CVE-2025-8268,0.0011,2025-10-25
207,CVE-2025-9054,0.00097,2025-10-25
208,CVE-2025-9321,0.00107,2025-10-25
209,CVE-2025-9816,0.00098,2025-10-25
210,CVE-2025-10137,0.00054,2025-10-26
211,CVE-2025-10147,0.00184,2025-10-26
212,CVE-2025-10412,0.00215,2025-10-26
213,CVE-2025-59834,0.00865,2025-10-26
214,CVE-2025-6921,0.00054,2025-10-26
215,CVE-2025-7045,0.00363,2025-10-26
216,CVE-2025-8268,0.0011,2025-10-26
217,CVE-2025-9054,0.0014,2025-10-26
218,CVE-2025-9321,0.00107,2025-10-26
219,CVE-2025-9816,0.00123,2025-10-26
220,CVE-2025-10137,0.00054,2025-10-27
221,CVE-2025-10147,0.00184,2025-10-27
222,CVE-2025-10412,0.00215,2025-10-27
223,CVE-2025-59834,0.00842,2025-10-27
